 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"A79   Outr rickettsioses";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A81   Infecc p/virus atipicos sist nervoso central";140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
"A82   Raiva";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"A83   Encefalite p/virus transm p/mosquitos";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"A84   Encefalite p/virus transm p/carrapatos";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"A85   Outr encefalites virais NCOP";6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"A86   Encefalite viral NE";210;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;210
"A87   Meningite viral";71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;71
"A88   Outr infecc virais sist nervoso central NCOP";7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"A89   Infecc virais NE do sist nervoso central";27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"A90   Dengue";5233;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5233
"A91   Febre hemorragica dev virus do dengue";1504;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1504
"A92   Outr febres virais transm p/mosquitos";267;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;267
"A93   Outr febres p/virus transm p/artropodes NCOP";8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"A94   Febre viral transm p/artropodes NE";27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"A95   Febre amarela";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"A96   Febre hemorragica p/arenavirus";12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"A98   Outr febres hemorragicas p/virus NCOP";43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
"A99   Febres hemorragicas virais NE";63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"B00   Infecc p/virus do herpes";104;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;104
"B01   Varicela";29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"B02   Herpes zoster";181;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;181
"B04   Variola dos macacos";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B06   Rubeola";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B08   Outr inf virais lesoes pele membr muc NCOP";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"B09   Inf viral NE caract p/lesoes pele membr muco";2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"B15   Hepatite aguda A";29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"B16   Hepatite aguda B";179;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;179
"B17   Outr hepatites virais agudas";184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;184
"B18   Hepatite viral cronica";981;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;981
"B19   Hepatite viral NE";172;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;172
"B20   Doenc p/HIV result doenc infecc e parasit";7315;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7315
"B21   Doenc p/HIV result em neopl malig";260;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;260
"B22   Doenc p/HIV result em outr doenc espec";885;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;885
"B23   Doenc p/HIV result em outr doenc";112;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;112
"B24   Doenc p/HIV NE";1395;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1395
"B25   Doenc p/citomegalovirus";81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81
