 Mortalidade - Brasil
Óbitos p/Residênc por Categoria CID-10 e Capítulo CID-10
Período:2024
"Categoria CID-10";"Cap I";"Cap II";"Cap III";"Cap IV";"Cap V";"Cap VI";"Cap VII";"Cap VIII";"Cap IX";"Cap X";"Cap XI";"Cap XII";"Cap XIII";"Cap XIV";"Cap XV";"Cap XVI";"Cap XVII";"Cap XVIII";"Cap XX";"Total"
"C96   Outr neopl mal e NE tec linf hematop e corr";-;261;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;261
"C97   Neopl malig de localiz mult independentes";-;57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57
"D00   Carcinoma in situ cav oral esofago estomago";-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;21
"D01   Carcinoma in situ de outr orgaos digestivos";-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"D02   Carcinoma in situ ouvido medio e ap respirat";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"D03   Melanoma in situ";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"D04   Carcinoma in situ da pele";-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"D05   Carcinoma in situ da mama";-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"D06   Carcinoma in situ do colo do utero";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"D07   Carcinoma in situ outr orgaos genitais e NE";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"D09   Carcinoma in situ de outr localiz e das NE";-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"D10   Neopl benig da boca e da faringe";-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"D11   Neopl benig de gland salivares maiores";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"D12   Neopl benig do colon reto canal anal e anus";-;29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;29
"D13   Neopl benig outr part e mal def ap digestivo";-;37;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;37
"D14   Neopl benig ouvido medio e aparelho respirat";-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"D15   Neopl benig outr orgaos intratoracicos e NE";-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"D16   Neopl benig de osso e cartilagem articular";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"D17   Neopl lipomatosa benig";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"D18   Hemangioma e linfangioma de qualquer localiz";-;61;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;61
"D19   Neopl benig de tec mesotelial";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"D20   Neopl benig tec mole retro- e peritonio";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"D21   Outr neopl benig tec conj e outr tec moles";-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"D22   Nevos melanociticos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D23   Outr neopl benig da pele";-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"D24   Neopl benig da mama";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D25   Leiomioma do utero";-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122
"D26   Outr neopl benig do utero";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"D27   Neopl benig do ovario";-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"D28   Neopl benig outr org genitais femin e NE";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"D29   Neopl benig dos orgaos genitais masc";-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"D30   Neopl benig dos orgaos urinarios";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"D31   Neopl benig do olho e anexos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D32   Neopl benig das meninges";-;390;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;390
"D33   Neopl benig encef e out part sist nerv centr";-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70
"D34   Neopl benig da gland tireoide";-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"D35   Neopl benig de outr gland endocrinas e NE";-;121;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;121
"D36   Neopl benig de outr localiz e de localiz NE";-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"D37   Neopl comp incerto/desc cav oral e org dig";-;490;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;490
"D38   Neopl comp inc/desc ouv med org resp intrat";-;484;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;484
"D39   Neopl comp incerto/desconh org genitais fem";-;88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;88
"D40   Neopl comp incerto/desconh org genitais masc";-;64;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;64
"D41   Neopl comp incerto/desconh orgaos urinarios";-;107;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;107
"D42   Neopl comp incerto/desconhecido meninges";-;28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28
"D43   Neopl comp inc/desc encefalo sist nerv centr";-;718;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;718
"D44   Neopl comp incerto/desconh gland endocrinas";-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
"D45   Policitemia vera";-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68
"D46   Sindr mielodisplasicas";-;1183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1183
"D47   Out neop comp inc/des tec linf hemat tec cor";-;579;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;579
"D48   Neopl comp inc/desconh outr localiz e NE";-;656;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;656
"D50   Anemia p/defic de ferro";-;-;425;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;425
"D51   Anemia p/defic de vitamina B12";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"D52   Anemia p/defic de folato";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"D53   Outr anemias nutricionais";-;-;197;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;197
"D55   Anemia dev transt enzimaticos";-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"D56   Talassemia";-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"D57   Transt falciformes";-;-;675;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;675
"D58   Outr anemias hemoliticas hereditarias";-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63
"D59   Anemia hemolitica adquir";-;-;312;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;312
"D60   Aplasia pura da serie vermelha adquir";-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
"D61   Outr anemias aplasticas";-;-;869;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;869
"D62   Anemia aguda pos-hemorragica";-;-;91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;91
"D64   Outr anemias";-;-;2028;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2028
"D65   Coagulacao intravascular disseminada";-;-;254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;254
"D66   Defic hereditaria do fator VIII";-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"D67   Defic hereditaria do fator IX";-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"D68   Outr defeitos da coagulacao";-;-;553;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;553
"D69   Purpura e outr afeccoes hemorragicas";-;-;691;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;691
"D70   Agranulocitose";-;-;235;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;235
"D71   Transt func neutrofilos polimorfonucleares";-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"D72   Outr transt dos globulos brancos";-;-;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;164
"D73   Doenc do baco";-;-;87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;87
"D74   Metemoglobinemia";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"D75   Outr doenc sangue e orgaos hematopoeticos";-;-;347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;347
"D76   Alg doenc q env tec linforr e sist reticuloh";-;-;113;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;113
"D80   Imunodefic c/predom defeitos anticorpos";-;-;81;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;81
"D81   Defic imunitarias combinadas";-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
"D82   Imunodeficiencia assoc c/outr defeitos major";-;-;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;16
"D83   Imunodeficiencia comum variavel";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"D84   Outr imunodeficiencias";-;-;170;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;170
"D86   Sarcoidose";-;-;60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;60
"D89   Outr transt q comprom mecanismo imunit NCOP";-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"E00   Sindr de defic congen de iodo";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"E01   Transt tireoid e afecc assoc rel defic iodo";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E02   Hipotireoidismo subclinico p/defic de iodo";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"E03   Outr hipotireoidismos";-;-;-;912;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;912
"E04   Outr bocios nao-toxicos";-;-;-;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;58
"E05   Tireotoxicose";-;-;-;200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;200
"E06   Tireoidite";-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"E07   Outr transt da tireoide";-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
"E10   Diabetes mellitus insulino-dependente";-;-;-;7843;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7843
"E11   Diabetes mellitus nao-insulino-dependemte";-;-;-;19080;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;19080
"E12   Diabetes mellitus relac c/a desnutr";-;-;-;360;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;360
"E13   Outr tipos espec de diabetes mellitus";-;-;-;140;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;140
"E14   Diabetes mellitus NE";-;-;-;44572;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44572
"E15   Coma hipoglicemico nao-diabetico";-;-;-;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30
"E16   Outr transt da secrecao pancreatica interna";-;-;-;514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;514
"E20   Hipoparatireoidismo";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E21   Hiperparatireoid e out transt gland paratir";-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"E22   Hiperfuncao da hipofise";-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"E23   Hipofuncao e outr transt da hipofise";-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"E24   Sindr de Cushing";-;-;-;38;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;38
"E25   Transt adrenogenitais";-;-;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;11
"E26   Hiperaldosteronismo";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"E27   Outr transt da gland supra-renal";-;-;-;83;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83
"E28   Disfuncao ovariana";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"E29   Disfuncao testicular";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E30   Transt da puberdade NCOP";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"E31   Disfuncao poliglandular";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"E32   Doenc do timo";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"E34   Outr transt endocrinos";-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"E40   Kwashiorkor";-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"E41   Marasmo nutricional";-;-;-;183;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;183
"E43   Desnutric proteico-calorica grave NE";-;-;-;1795;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1795
"E44   Desnutric proteico-calorica grau moder leve";-;-;-;227;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;227
"E45   Atraso desenv dev desnutric proteico-caloric";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E46   Desnutric proteico-calorica NE";-;-;-;1843;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1843
"E50   Defic de vitamina A";-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"E51   Defic de tiamina";-;-;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;62
"E52   Defic de niacina";-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"E53   Defic de outr vitaminas do grupo B";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"E54   Defic de acido ascorbico";-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"E55   Defic de vitamina D";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E56   Outr defic vitaminicas";-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"E61   Defic de outr elementos nutrientes";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E63   Outr defic nutricionais";-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"E64   Sequelas desnutric e outr defic nutricionais";-;-;-;68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;68
"E65   Adiposidade localizada";-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"E66   Obesidade";-;-;-;4115;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4115
"E67   Outr form de hiperalimentacao";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E70   Disturbios metabolism aminoacidos aromaticos";-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"E71   Dist metab aminoacidos cad ramif e acid grax";-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"E72   Outr disturbios metabolismo de aminoacidos";-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"E73   Intolerancia a lactose";-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"E74   Outr disturbios do metabolismo carboidratos";-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"E75   Disturb metab esfingolip e outr depos lipid";-;-;-;92;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;92
"E76   Disturbios metabolismo do glicosaminoglicano";-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;25
"E77   Disturbios do metabolismo de glicoproteinas";-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"E78   Disturbios metab lipoproteinas e out lipidem";-;-;-;1881;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1881
"E79   Disturbios metabolismo purina e pirimidina";-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"E80   Disturbios metab porfirina e bilirrubina";-;-;-;41;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41
"E83   Disturbios do metabolismo de minerais";-;-;-;248;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;248
"E84   Fibrose cistica";-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;270
"E85   Amiloidose";-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;276
"E86   Deplecao de volume";-;-;-;992;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;992
"E87   Outr transt equil hidroeletr e acido-basic";-;-;-;3177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3177
"E88   Outr disturbios metabolicos";-;-;-;614;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;614
"F01   Demencia vascular";-;-;-;-;457;-;-;-;-;-;-;-;-;-;-;-;-;-;-;457
"F03   Demencia NE";-;-;-;-;4873;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4873
"F05   Delirium nao induz alcool outr subst psicoat";-;-;-;-;117;-;-;-;-;-;-;-;-;-;-;-;-;-;-;117
"F06   Outr transt ment lesao disf cereb doenc fis";-;-;-;-;36;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36
"F07   Transt pers comport dev doen lesao disf cer";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F09   Transt mental organico ou sintomatico NE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"F10   Transt mentais comport dev uso alcool";-;-;-;-;7815;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7815
"F11   Transt mentais e comport dev uso de opiaceos";-;-;-;-;24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"F12   Transt mentais comport dev uso canabinoides";-;-;-;-;18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;18
"F13   Transt mentais comport dev uso sedat hipnot";-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"F14   Transt mentais e comport dev uso da cocaina";-;-;-;-;390;-;-;-;-;-;-;-;-;-;-;-;-;-;-;390
"F15   Transt ment comp uso outr estim incl cafeina";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"F16   Transt mentais comport dev uso alucinogenos";-;-;-;-;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9
"F17   Transt mentais e comport dev uso de fumo";-;-;-;-;2386;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2386
"F18   Transt mentais comport dev uso solv volateis";-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-;-;-;14
"F19   Transt ment comp mult drog out subst psicoat";-;-;-;-;800;-;-;-;-;-;-;-;-;-;-;-;-;-;-;800
"F20   Esquizofrenia";-;-;-;-;1083;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1083
"F21   Transt esquizotipico";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"F22   Transt delirantes persistentes";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"F23   Transt psicoticos agudos e transitorios";-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"F25   Transt esquizoafetivos";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"F28   Outr transt psicoticos nao-organicos";-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"F29   Psicose nao-organica NE";-;-;-;-;22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22
"F30   Episodio maniaco";-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"F31   Transt afetivo bipolar";-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89
"F32   Episodios depressivos";-;-;-;-;628;-;-;-;-;-;-;-;-;-;-;-;-;-;-;628
"F33   Transt depressivo recorrente";-;-;-;-;79;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79
"F34   Transt de humor persistentes";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"F38   Outr transt do humor";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F39   Transt do humor NE";-;-;-;-;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6
"F41   Outr transt ansiosos";-;-;-;-;127;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127
"F42   Transt obsessivo-compulsivo";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"F43   Reacoes ao stress grave e transt adaptacao";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"F44   Transt dissociativos";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"F45   Transt somatoformes";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F48   Outr transt neuroticos";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"F50   Transt da alimentacao";-;-;-;-;67;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67
"F54   Fat psicolog comport assoc doenc transt COP";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"F55   Abuso de subst que nao produzem dependencia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F60   Transt especificos da personalidade";-;-;-;-;12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"F70   Retardo mental leve";-;-;-;-;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"F71   Retardo mental moderado";-;-;-;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20
"F72   Retardo mental grave";-;-;-;-;43;-;-;-;-;-;-;-;-;-;-;-;-;-;-;43
"F73   Retardo mental profundo";-;-;-;-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"F79   Retardo mental NE";-;-;-;-;65;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65
"F80   Transt especificos desenvolv fala linguagem";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"F83   Transt especificos misto do desenvolv";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F84   Transt globais do desenvolv";-;-;-;-;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70
"F88   Outr transt do desenvolv psicologico";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F89   Transt do desenvolv psicologico NE";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"F90   Transt hipercineticos";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"F91   Disturbios de conduta";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"F93   Transt emocionais c/inicio especif infancia";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"F98   Outr transt comp emoc c/inicio inf adolesc";-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"F99   Transt mental NE em outr parte";-;-;-;-;195;-;-;-;-;-;-;-;-;-;-;-;-;-;-;195
"G00   Meningite bacter NCOP";-;-;-;-;-;821;-;-;-;-;-;-;-;-;-;-;-;-;-;821
"G03   Meningite dev outr causas e a causas NE";-;-;-;-;-;284;-;-;-;-;-;-;-;-;-;-;-;-;-;284
"G04   Encefalite mielite e encefalomielite";-;-;-;-;-;663;-;-;-;-;-;-;-;-;-;-;-;-;-;663
"G06   Abscesso granuloma intracran intra-raquid";-;-;-;-;-;198;-;-;-;-;-;-;-;-;-;-;-;-;-;198
"G08   Flebite tromboflebite intracran intra-raquid";-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;15
"G09   Sequelas doenc inflam sist nerv centr";-;-;-;-;-;138;-;-;-;-;-;-;-;-;-;-;-;-;-;138
"G10   Doenc de Huntington";-;-;-;-;-;210;-;-;-;-;-;-;-;-;-;-;-;-;-;210
"G11   Ataxia hereditaria";-;-;-;-;-;219;-;-;-;-;-;-;-;-;-;-;-;-;-;219
"G12   Atrofia muscular espinal e sindr correlatas";-;-;-;-;-;1995;-;-;-;-;-;-;-;-;-;-;-;-;-;1995
"G20   Doenc de Parkinson";-;-;-;-;-;6379;-;-;-;-;-;-;-;-;-;-;-;-;-;6379
"G21   Parkinsonismo secund";-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;-;-;-;99
"G23   Outr doenc degenerativas dos ganglios base";-;-;-;-;-;157;-;-;-;-;-;-;-;-;-;-;-;-;-;157
"G24   Distonia";-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"G25   Outr doenc extrapiramidais transt movimentos";-;-;-;-;-;31;-;-;-;-;-;-;-;-;-;-;-;-;-;31
"G30   Doenc de Alzheimer";-;-;-;-;-;30935;-;-;-;-;-;-;-;-;-;-;-;-;-;30935
"G31   Outr doenc degenerativas sist nervoso NCOP";-;-;-;-;-;4418;-;-;-;-;-;-;-;-;-;-;-;-;-;4418
"G35   Esclerose mult";-;-;-;-;-;333;-;-;-;-;-;-;-;-;-;-;-;-;-;333
"G36   Outr desmielinizacoes disseminadas agudas";-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;40
"G37   Outr doenc desmielinizantes sist nerv centr";-;-;-;-;-;124;-;-;-;-;-;-;-;-;-;-;-;-;-;124
"G40   Epilepsia";-;-;-;-;-;4231;-;-;-;-;-;-;-;-;-;-;-;-;-;4231
"G41   Estado de mal epileptico";-;-;-;-;-;809;-;-;-;-;-;-;-;-;-;-;-;-;-;809
"G43   Enxaqueca";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G44   Outr sindr de algias cefalicas";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"G45   Acid vasc cerebr isquemicos trans sindr corr";-;-;-;-;-;319;-;-;-;-;-;-;-;-;-;-;-;-;-;319
"G47   Disturbios do sono";-;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;-;26
"G50   Transt do nervo trigemeo";-;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"G52   Transt de outr nervos cranianos";-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"G54   Transt das raizes e dos plexos nervosos";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G56   Mononeuropatias dos membros super";-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"G58   Outr mononeuropatias";-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;-;13
"G60   Neuropatia hereditaria e idiopatica";-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;89
